arrondissement,no2,o3,pm10,annee
6,36,38,42,2018
7,36,38,42,2018
8,39,38,39,2018
9,39,38,37,2018
10,40,38,39,2018
11,39,38,40,2018
12,38,39,40,2018
13,38,39,42,2018
14,36,39,42,2018
15,34,39,40,2018
16,37,39,39,2018
17,41,39,37,2018
18,42,40,35,2018
19,41,39,37,2018
20,38,39,39,2018
1,23,35,19,2018
2,23,35,19,2018
3,23,35,20,2018
4,24,35,20,2018
5,22,35,20,2018
6,22,35,20,2018
7,22,35,19,2018
8,24,36,19,2018
9,22,36,19,2018
10,23,36,19,2018
11,23,35,20,2018
12,22,35,22,2018
13,21,35,22,2018
14,20,36,20,2018
15,19,36,19,2018
16,28,36,19,2018
17,27,37,19,2018
18,22,37,19,2018
19,24,36,20,2018
20,22,35,20,2018
1,22,27,20,2018
2,22,27,20,2018
3,21,27,20,2018
4,22,27,20,2018
5,21,27,19,2018
6,22,27,19,2018
7,23,26,19,2018
8,23,26,20,2018
9,22,26,22,2018
10,22,27,22,2018
11,20,26,20,2018
12,20,26,19,2018
13,20,27,19,2018
14,21,26,19,2018
15,22,26,19,2018
16,22,25,20,2018
17,23,26,22,2018
18,23,26,22,2018
19,20,26,22,2018
20,20,26,20,2018
1,16,25,7,2018
2,17,26,9,2018
3,17,25,9,2018
4,17,25,9,2018
5,16,26,9,2018
6,16,26,7,2018
7,16,26,7,2018
8,16,26,9,2018
9,16,26,7,2018
10,17,26,9,2018
11,17,26,9,2018
12,16,27,9,2018
13,15,27,9,2018
14,14,27,7,2018
15,14,28,7,2018
16,16,28,9,2018
17,16,27,9,2018
18,16,28,9,2018
19,17,27,9,2018
20,17,26,9,2018
