annee,arrondissement,code_postal,nature_programme,mode_realisation,nb_logements,coord_x,coord_y
2010,15,75015,,construction neuve,,2.2772106734412128,48.84368339017265
2010,5,75005,,acquisition réhabilitation,,2.345543519020679,48.84116427997695
2010,20,75020,,acquisition réhabilitation,,2.378594415461754,48.87162958030137
2010,11,75011,,acquisition réhabilitation,,2.312976215443388,48.84863612026362
2010,20,75020,,construction neuve,,2.3915917654937813,48.8701388299947
2010,18,75018,,construction neuve,,2.3528976836460913,48.89396862011451
2011,11,75011,,construction neuve,,2.3775119574108237,48.8553329497662
2011,11,75011,,construction neuve,,2.379593079384777,48.854665870320716
2011,16,75016,,acquisition réhabilitation,,2.2626831325459733,48.83714179008861
2011,4,75004,,acquisition conventionnement,,2.3609842210510688,48.852918849799174
2011,13,75013,,construction neuve,,2.3809341956513257,48.82647164997725
